"cd_imovel";"cd_uf_municipio";"cd_tema";"ds_tema";"vlr_mod_fiscal";"cd_status";"cd_tipo";"ds_condic_cadastro";"ds_municipio";"cd_estado";"cd_uf_car";"dt_inscricao";"vlr_area_original";"vlr_area_calculada";"geometria"
AC-1200013-198C8E635C4049BABA35F0E83176818F;"1200013";AREA_IMOVEL;Area do Imovel;0.4025;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2016-05-04";40.228720223605634;14.29619034120516;POLYGON ((-66.93964820111921 -10.082606205285161, -66.93752111214005 -10.083360130468478, -66.941785045288 -10.096439287323594, -66.94204832253175 -10.096351344308482, -66.941091989252 -10.092558051886918, -66.93904679840247 -10.084445609687988, -66.93904650545448 -10.084443622161386, -66.93904661569279 -10.084441616188297, -66.93904712466808 -10.08443967273141, -66.9390480118377 -10.084437870230209, -66.93904924139477 -10.084436281435094, -66.93905076371338 -10.084434970471115, -66.94004198170752 -10.083741718324431, -66.93964820111921 -10.082606205285161))
AC-1200013-00C4AECDF16B4FE684136A5D63537898;"1200013";AREA_IMOVEL;Area do Imovel;0.69;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2014-08-27";68.98429842358246;67.92518860305395;POLYGON ((-67.0987205632152 -9.980600689782287, -67.09874937110341 -9.979977071833734, -67.09729565134839 -9.97850520596961, -67.09729416281036 -9.978503276223664, -67.09729318528116 -9.978501043713521, -67.0972032362952 -9.978200225859087, -67.0828671109341 -9.973032685306217, -67.08285309877563 -9.973078828393593, -67.08285232752891 -9.973080677465026, -67.0828512031684 -9.973082335687, -67.08284977082465 -9.973083736500364, -67.08284808799034 -9.973084823678057, -67.08284622221251 -9.973085553582, -67.08284424838138 -9.973085896914675, -67.08284224572428 -9.973085839895097, -67.08284029462561 -9.973085384811966, -67.07938347552066 -9.971903309858387, -67.07938175740804 -9.971902534595495, -67.07938021529803 -9.971901450695018, -67.07937890398094 -9.971900096667332, -67.0793778700471 -9.971898520620272, -67.07937715023161 -9.971896778549901, -67.0793767701091 -9.971894932350995, -67.07937674318512 -9.971893047617959, -67.07937707041626 -9.971891191314294, -67.07940627424459 -9.971785206403135, -67.07576463556592 -9.970472556361582, -67.0757891372821 -9.973458185991841, -67.075885838172 -9.973457671524425, -67.07588784230542 -9.973457863535874, -67.07588976735937 -9.973458453100472, -67.07589153530336 -9.973459416320694, -67.0758930744752 -9.973460714153187, -67.07589432248581 -9.973462293991362, -67.07589522874808 -9.973464091797757, -67.07589575652742 -9.973466034699738, -67.07589588443071 -9.97346804394335, -67.07588867437106 -9.973661436832701, -67.0987205632152 -9.980600689782287))
AC-1200013-1B6DC83959B9472DAFB50AFF5A37DD43;"1200013";AREA_IMOVEL;Area do Imovel;0.4314;PE;IRU;Analisado, aguardando atendimento a notificacao;Acrelandia;AC;"0_AC";"2014-07-14";43.12129472153597;4.8013939495761315;POLYGON ((-67.05927224215978 -10.114373947434988, -67.05904901259834 -10.114795377804144, -67.06175202138895 -10.120361867394251, -67.06175271688241 -10.120363768931103, -67.06175301508694 -10.120365771586242, -67.0617529037775 -10.120367793259744, -67.06175238751727 -10.120369751072024, -67.06175148747063 -10.120371564761518, -67.06175024053546 -10.120373159975056, -67.06174869783055 -10.120374471316003, -67.0617469225999 -10.120375445025237, -67.06174498762003 -10.120376041185024, -67.0617429722165 -10.120376235355474, -67.06137226654053 -10.120374246972949, -67.06137226654053 -10.120428375019554, -67.06137208105787 -10.120430292113523, -67.06137153149066 -10.120432138089958, -67.06137063822595 -10.120433844469533, -67.06136943440076 -10.120435347951489, -67.0613679646728 -10.120436592761857, -67.06136628356391 -10.120437532722493, -67.06136445343739 -10.120438132964118, -67.06136254218457 -10.12043837121985, -67.06136062070632 -10.120438238651227, -67.06135876028281 -10.120437740176083, -67.06118650972851 -10.120373250614858, -67.06117416301481 -10.120373184389841, -67.06117411233016 -10.12038243044459, -67.0611739111998 -10.120384371898902, -67.0611733367678 -10.120386237301311, -67.06117241091827 -10.12038795558561, -67.06117116892331 -10.120389461290353, -67.06116965809916 -10.120390697052732, -67.06116793600367 -10.120391615793931, -67.06116606824348 -10.120392182512681, -67.06116412597461 -10.120392375618708, -67.06116218319167 -10.120392187755254, -67.0611603139088 -10.12039162607935, -67.06115858934004 -10.120390711989154, -67.06115707518627 -10.120389480308742, -67.06111284718972 -10.120345671807783, -67.05844199184908 -10.1193457197919, -67.06181583204115 -10.120908330274906, -67.06181751899172 -10.120909322672816, -67.06181898033121 -10.120910624649282, -67.06182016008073 -10.12091218633007, -67.06182101304815 -10.120913947892559, -67.06182150655921 -10.120915841857357, -67.06182162170923 -10.120917795673188, -67.06181104214622 -10.121187893799735, -67.06194471516183 -10.121189084858798, -67.06190591246043 -10.119489833456056, -67.0603663388704 -10.11652505615177, -67.06036561981887 -10.116523268754312, -67.06036525687254 -10.116521376640483, -67.06036526350336 -10.116519450042237, -67.06036563946516 -10.116517560471522, -67.06036637080295 -10.116515778065892, -67.06036743037072 -10.116514168985123, -67.06036877883916 -10.116512792955472, -67.06037036615552 -10.116511701052751, -67.06037213340139 -10.116510933806472, -67.06037401497967 -10.116510519695472, -67.06183385453448 -10.11633426625686, -67.0618262427076 -10.116000928446942, -67.0600970028465 -10.116129062856288, -67.06009499231186 -10.116129009022393, -67.06009303321424 -10.116128553957356, -67.06009120480205 -10.116127716069236, -67.06008958103726 -10.11612652925184, -67.06008822760354 -10.116125041513687, -67.0600871992493 -10.116123313035978, -67.05927224215978 -10.114373947434988))
AC-1200013-70998B3B0A5B4A3C817A7C0E4045A5C5;"1200013";AREA_IMOVEL;Area do Imovel;0.4817;PE;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2016-05-04";48.14920398119241;47.695268225622144;POLYGON ((-66.93156108507223 -10.102751924743558, -66.9294118015309 -10.103855911364787, -66.92839672733882 -10.104377300182911, -66.93546126400005 -10.115253973498222, -66.93626162717695 -10.114882461043571, -66.93626395511275 -10.11488171026697, -66.93686736135298 -10.114766058371433, -66.93743246503557 -10.114568466826434, -66.9372912812231 -10.114285505946707, -66.93729060638978 -10.11428376173521, -66.93729026813251 -10.114281922372339, -66.93729027828243 -10.11428005219301, -66.93729063648452 -10.114278216609991, -66.93729133021002 -10.114276479825989, -66.93729233519471 -10.114274902588043, -66.93729361628748 -10.114273540062792, -66.93729512867989 -10.11427243990692, -66.93729681947339 -10.114271640600295, -66.93743591916709 -10.114221187206146, -66.93180747734121 -10.102625363090366, -66.93156108507223 -10.102751924743558))
AC-1200013-BCA21416AC6E4F6B87192E79AF2D3672;"1200013";AREA_IMOVEL;Area do Imovel;0.7475;AT;IRU;Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012);Acrelandia;AC;"0_AC";"2014-06-03";74.73242738031857;74.13027700634227;POLYGON ((-67.11841589564237 -10.0117419209836, -67.09633020008822 -10.011723004505713, -67.09606356190545 -10.01449830653192, -67.1179941225999 -10.014521268505366, -67.11841589564237 -10.0117419209836))
AC-1200013-882C062AEC7448158CE2AA71852786E2;"1200013";AREA_IMOVEL;Area do Imovel;0.7929;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2020-12-28";79.26483243934513;78.74030973846317;POLYGON ((-67.0168892514341 -9.783080780286493, -67.01356044684316 -9.781777029965188, -67.00738745956309 -9.798632258529624, -67.01075922581828 -9.800020168249729, -67.0168892514341 -9.783080780286493))
AC-1200013-5F1CE22D137C4F86BFA75861412E5FD4;"1200013";AREA_IMOVEL;Area do Imovel;1.1991;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2016-03-22";99.64137322876378;95.62462449989675;POLYGON ((-66.66707702257989 -9.884669190786258, -66.64433924248858 -9.886008875301245, -66.64440899881822 -9.889441065703757, -66.66620917527523 -9.888212996606173, -66.66621124120427 -9.888213094447096, -66.66621324281944 -9.88821361518918, -66.66621509449895 -9.88821453655698, -66.6662167170347 -9.888215819137736, -66.66621804102051 -9.888217408067318, -66.66621900982109 -9.888219235377106, -66.6662195819947 -9.888221222901446, -66.66621973306582 -9.88822328562129, -66.66621764423512 -9.888291774966913, -66.66712292565512 -9.888236761098183, -66.66707702257989 -9.884669190786258))
AC-1200013-3FBF810DC418463F8320F0271F2F0D71;"1200013";AREA_IMOVEL;Area do Imovel;0.379;PE;IRU;Analisado, aguardando atendimento a notificacao;Acrelandia;AC;"0_AC";"2017-06-27";37.880178884835544;37.36042719060306;POLYGON ((-66.9340399072978 -10.127532476404182, -66.93474686722423 -10.128109600821572, -66.93474748167853 -10.128110145981251, -66.93575186409069 -10.129077838805966, -66.93722467914377 -10.128663497224279, -66.92880850346673 -10.117410587177805, -66.92858941012345 -10.117483481262427, -66.92665441823937 -10.118128969085802, -66.9266528113107 -10.118129360937479, -66.92633205280168 -10.11817993671031, -66.92805363860208 -10.120570084233853, -66.92953396925336 -10.1223230597883, -66.92953403738072 -10.122323141338326, -66.93056400564244 -10.123569435939038, -66.93056419173514 -10.123569668064402, -66.93189437185993 -10.125280423307304, -66.9331065435451 -10.126649772711783, -66.9332119842061 -10.126587843619768, -66.933213773542 -10.126587017872861, -66.93321569006918 -10.12658655906517, -66.93321765935775 -10.126586485014862, -66.9332196049288 -10.126586798597739, -66.9332214512245 -10.126587487635557, -66.93322312654246 -10.126588525368977, -66.93322456582035 -10.126589871496778, -66.93403995736088 -10.127519299636342, -66.93404107871079 -10.127520857040581, -66.93404188190956 -10.12752259997068, -66.9340423373759 -10.127524464235682, -66.93404242833529 -10.127526381175946, -66.93404215143777 -10.127528280191836, -66.93404151688127 -10.127530091343855, -66.9340405480361 -10.12753174792848, -66.9340399072978 -10.127532476404182))
AC-1200013-5E8838EABF194AFBBA0A5181A8735539;"1200013";AREA_IMOVEL;Area do Imovel;0.7746;AT;IRU;Analisado, aguardando atendimento a notificacao;Acrelandia;AC;"0_AC";"2014-06-02";77.43514970887601;71.35071688933797;MULTIPOLYGON (((-67.06817032211708 -9.925409682582346, -67.0681160782568 -9.925559291352899, -67.06818542813832 -9.92558115973659, -67.06823973374014 -9.925435287713684, -67.06817032211708 -9.925409682582346)), ((-67.06822001882739 -9.925749177785613, -67.06711305175199 -9.92877176906387, -67.06711221450071 -9.928773511729226, -67.06711105755546 -9.928775060712743, -67.06710962416138 -9.928776358115396, -67.0671079678969 -9.92877735544193, -67.06710615067108 -9.928778015413558, -67.06710424040948 -9.928778313361379, -67.06710230851526 -9.928778238148485, -67.06710042720016 -9.928777792586242, -67.06696582378531 -9.928731782330047, -67.06688969577158 -9.928941749291823, -67.08298533433069 -9.934789518669643, -67.08408141015524 -9.931470607995669, -67.06822001882739 -9.925749177785613)))
AC-1200013-2E31C38959EB41F1BF94E3FF31D621B6;"1200013";AREA_IMOVEL;Area do Imovel;0.7067;PE;IRU;Analisado, aguardando atendimento a notificacao;Acrelandia;AC;"0_AC";"2014-06-20";70.6691349475056;62.27642596436904;MULTIPOLYGON (((-66.995391867311 -9.839666427992176, -66.99215036334627 -9.839834523789907, -66.99298684003611 -9.854737878887768, -66.99392015835198 -9.854677580718892, -66.99392218547912 -9.85467765592785, -66.99392415572149 -9.854678138676022, -66.99392598800559 -9.854679009098797, -66.99392760693472 -9.854680231379147, -66.99392894589158 -9.854681755221442, -66.99392994977941 -9.854683517921085, -66.99477871969573 -9.856604216829762, -66.99619200848271 -9.856615937319276, -66.995391867311 -9.839666427992176)), ((-66.99362886797616 -9.856867251005362, -66.99303887344723 -9.855664948837548, -66.99310705852834 -9.856879790193554, -66.99362886797616 -9.856867251005362)))
