"cd_imovel";"cd_uf_municipio";"cd_tema";"ds_tema";"vlr_mod_fiscal";"cd_status";"cd_tipo";"ds_condic_cadastro";"ds_municipio";"cd_estado";"cd_uf_car";"dt_inscricao";"vlr_area_original";"vlr_area_calculada";"geometria"
AC-1200013-666A6DAEB0D44D798D9549E10A9E1436;"1200013";AREA_IMOVEL;Area do Imovel;0.3203;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2022-05-09";32.024438278207185;31.549320642283558;POLYGON ((-67.10937160906003 -9.690323927194534, -67.1079746110312 -9.689906634337119, -67.10199275150354 -9.706972069571382, -67.10332735992725 -9.707436921160923, -67.10937160906003 -9.690323927194534))
AC-1200013-6827C96F9D0D4259ADAC7900A5ABB487;"1200013";AREA_IMOVEL;Area do Imovel;0.4037;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2019-11-01";40.3458715640299;39.98123259897009;POLYGON ((-66.76153424570688 -9.88015474367975, -66.77333525381712 -9.877658255936593, -66.77374212268359 -9.874532471756066, -66.76204881967385 -9.877456888493022, -66.76153424570688 -9.88015474367975))
AC-1200013-3F21D9B1DB29417385BAC1655721B3F0;"1200013";AREA_IMOVEL;Area do Imovel;0.1805;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2020-12-04";18.03863979369104;17.780138643936812;POLYGON ((-66.94405974870335 -10.026820250768562, -66.94532775722357 -10.0284515723612, -66.95159702373051 -10.021733753784648, -66.95064104050944 -10.020975203692544, -66.94405974870335 -10.026820250768562))
AC-1200013-3B8B68D61D26478285FCFF21DCF9D3F1;"1200013";AREA_IMOVEL;Area do Imovel;0.4448;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2015-02-26";44.462449483261764;43.92684106476404;MULTIPOLYGON (((-67.07595217298599 -10.04153098785952, -67.07601155155899 -10.040814738252184, -67.07592582085883 -10.039943548523345, -67.07584090311816 -10.039080618259215, -67.07584085543438 -10.039079551026836, -67.07585765016263 -10.037168965507002, -67.07579368828003 -10.036140242517803, -67.064613927028 -10.031563808908357, -67.06454775751365 -10.031804061919415, -67.06450594974969 -10.032030488996265, -67.07529090717834 -10.04152697149012, -67.07595217298599 -10.04153098785952)), ((-67.07594954122935 -10.04156273322764, -67.07563514771967 -10.041830085739392, -67.07590749630907 -10.042069896942047, -67.07594954122935 -10.04156273322764)))
AC-1200013-12F98CE8DE5D4EE38AC47AA1DEC7F27C;"1200013";AREA_IMOVEL;Area do Imovel;0.1171;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2016-05-04";11.702184840537793;11.545872381631844;POLYGON ((-67.05760539597871 -10.064462166533861, -67.05806649697875 -10.066848477446653, -67.05816426136674 -10.067156155381522, -67.06089289641156 -10.066556834831141, -67.06217935423258 -10.065793563089636, -67.06204389576907 -10.064428323595903, -67.05760539597871 -10.064462166533861))
AC-1200013-1E339908B15843E59BC3B8562F141743;"1200013";AREA_IMOVEL;Area do Imovel;0.4022;PE;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2015-06-02";40.21083457927797;36.08520190831665;POLYGON ((-67.03858124908541 -9.985881616224692, -67.03832265621983 -9.985872998954019, -67.0329259377254 -9.9961231196127, -67.03879842980956 -9.996138054105035, -67.03879990169044 -9.995880059078534, -67.03846143644677 -9.99587799069023, -67.0384594783291 -9.995877784891503, -67.03845759848836 -9.995877199420173, -67.03845586979803 -9.99587625697249, -67.03845435927214 -9.995874994083177, -67.0384531254674 -9.995873459709118, -67.0384522162132 -9.995871713331521, -67.03845166675751 -9.995869822650072, -67.0384514984004 -9.995867860958512, -67.03858124908541 -9.985881616224692))
AC-1200013-D6969A044A39444D8C332FD8E8B35917;"1200013";AREA_IMOVEL;Area do Imovel;0.8018;AT;IRU;Em analise;Acrelandia;AC;"0_AC";"2015-11-23";80.1762063183725;79.65326326853037;POLYGON ((-67.03826805958597 -9.809915925420693, -67.04465520304257 -9.793188481270668, -67.04121933701911 -9.791968750156423, -67.03481058867455 -9.808569980109642, -67.03826805958597 -9.809915925420693))
AC-1200013-AC26C9D0EF20467FAA0C83C51B7E2558;"1200013";AREA_IMOVEL;Area do Imovel;0.5462;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2016-05-04";54.597600721639395;6.276102562071383;POLYGON ((-67.04296457508563 -9.956277615964177, -67.04842093270584 -9.942099497219091, -67.04799465731321 -9.941949329679602, -67.04277627595138 -9.95612098957944, -67.04296457508563 -9.956277615964177))
AC-1200013-D88BF7E91E1841CC809B5D563DF10F76;"1200013";AREA_IMOVEL;Area do Imovel;0.9787;PE;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2014-08-27";97.80136111363768;48.197814045920126;MULTIPOLYGON (((-66.7284987838569 -9.91052344972293, -66.72830104242061 -9.910376438194367, -66.72830022421253 -9.910375759484179, -66.72658378571585 -9.908790606146738, -66.72622445985611 -9.908489208705872, -66.72611906468883 -9.908863812813678, -66.72908658070573 -9.911124450028149, -66.72848383770877 -9.91062367052965, -66.7284823406961 -9.91062212600588, -66.7284812086068 -9.91062029707876, -66.72848049381811 -9.91061826836544, -66.72848022940046 -9.910616133726382, -66.7284804275874 -9.91061399192281, -66.7284987838569 -9.91052344972293)), ((-66.7357474539532 -9.887201321824152, -66.73148057833897 -9.889807483294174, -66.72908704111583 -9.898314788696691, -66.73108628053903 -9.898415529335042, -66.73108822387327 -9.898415820571946, -66.73109007273567 -9.898416486210525, -66.73109175573487 -9.898417500548032, -66.7310932078841 -9.898418824417174, -66.73109437311054 -9.898420406698506, -66.73109520642053 -9.89842218629434, -66.73109567563694 -9.898424094487952, -66.73109576264156 -9.898426057596987, -66.73109546407484 -9.898427999818603, -66.73085765220492 -9.899355704374933, -66.7322695064552 -9.900243594947128, -66.7357474539532 -9.887201321824152)), ((-66.73040456125835 -9.901123213018101, -66.72895164719672 -9.90679103353243, -66.72922582348038 -9.906937330720131, -66.73040456125835 -9.901123213018101)))
AC-1200013-695E0DFAE2BE4CF681BD395C7D6AC070;"1200013";AREA_IMOVEL;Area do Imovel;0.4159;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2016-05-04";41.57278102204145;15.00618441615071;MULTIPOLYGON (((-67.03284577292311 -10.134278525035688, -67.03221030534716 -10.133085191910425, -67.0313484155973 -10.133075124117832, -67.02667949298551 -10.13302054799282, -67.02975182648738 -10.136213790860673, -67.03284577292311 -10.134278525035688)), ((-67.03704673645402 -10.143625846700429, -67.03704693940058 -10.14362389701625, -67.03704751878868 -10.143622024380367, -67.03704845235558 -10.143620300747987, -67.03704970422935 -10.143618792348919, -67.03705122630734 -10.143617557142731, -67.03705296010435 -10.143616642591672, -67.037054839 -10.143616083836964, -67.03705679079857 -10.143615902348506, -67.03771277089321 -10.143619477399389, -67.0341748687987 -10.140810898663673, -67.03698620493316 -10.143732872809727, -67.03700801659583 -10.143744211951976, -67.03700959605634 -10.143745232314453, -67.0370109565761 -10.14374653032103, -67.03701205004937 -10.143748060076332, -67.03701283781274 -10.143749767490736, -67.0370132920122 -10.143751592192881, -67.03701339658801 -10.143753469664313, -67.03701311259971 -10.143760839407184, -67.03704579869033 -10.14379481183423, -67.03704673645402 -10.143625846700429)))
AC-1200013-685E7D6C148D43C79EABD1E0A5D09311;"1200013";AREA_IMOVEL;Area do Imovel;0.3503;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2020-12-01";35.00783028940558;34.730251051312685;POLYGON ((-66.90005811027007 -10.007059786053293, -66.90490806732946 -10.012709826092673, -66.9081400862409 -10.01084652193291, -66.90314601931456 -10.004796947797862, -66.90005811027007 -10.007059786053293))
AC-1200013-591EB892D7E64E728CACF4E978DF49EC;"1200013";AREA_IMOVEL;Area do Imovel;0.3238;AT;IRU;Em analise;Acrelandia;AC;"0_AC";"2014-08-27";32.36026902385652;16.90142902033279;MULTIPOLYGON (((-66.90068844847188 -10.078629321008187, -66.90232537349202 -10.077394406646976, -66.89980029031022 -10.07411531952475, -66.897694842374 -10.075364186291347, -66.90068844847188 -10.078629321008187)), ((-66.89833823630453 -10.072444557012702, -66.8965232448489 -10.072187175386954, -66.89652127824938 -10.072186689261502, -66.89651944997524 -10.072185816767794, -66.89651783505577 -10.072184593711508, -66.89507828892059 -10.070844455881218, -66.89417197822586 -10.071521788308226, -66.8961578881812 -10.073687825965708, -66.89833823630453 -10.072444557012702)))
AC-1200013-A1A9216CE14242C392954A7F9971070F;"1200013";AREA_IMOVEL;Area do Imovel;0.6722;AT;IRU;Analisado, aguardando atendimento a notificacao;Acrelandia;AC;"0_AC";"2016-04-05";67.19808515770863;66.6636303528166;POLYGON ((-66.98333050161065 -9.817771267036548, -66.98365104410868 -9.819687245444689, -66.99304099372544 -9.819687245444689, -67.00247204181072 -9.819602764735103, -67.0023869288501 -9.817296441090514, -66.99806164656798 -9.817085453646543, -66.99377010728335 -9.816874018638934, -66.9937699116516 -9.816874007077972, -66.98335185472034 -9.816155842822415, -66.98331409617549 -9.817415450277638, -66.98333050161065 -9.817771267036548))
AC-1200013-BEB57F6CF813431A8249B3C986E32A25;"1200013";AREA_IMOVEL;Area do Imovel;0.2743;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2016-05-04";27.4184990252126;27.035628030751646;POLYGON ((-66.89919036123877 -10.086238878642964, -66.8993839940903 -10.08646902195938, -66.90035354226063 -10.087615269215686, -66.91160068677563 -10.078874995824817, -66.910620900734 -10.077929370839989, -66.89919036123877 -10.086238878642964))
AC-1200013-59C764E6A939406DAEA888E3506E7862;"1200013";AREA_IMOVEL;Area do Imovel;0.4276;PE;IRU;Analisado, aguardando atendimento a notificacao;Acrelandia;AC;"0_AC";"2014-08-27";42.74737044653818;37.99690873361878;POLYGON ((-67.06124590037672 -10.02673885372578, -67.0612476987548 -10.026738223274572, -67.06124958407509 -10.026737945425964, -67.06125148786968 -10.026738030270394, -67.06178939072953 -10.02681381362138, -67.06166654481436 -10.016776140444637, -67.05819718976285 -10.01687379289853, -67.05686371786561 -10.019315350466824, -67.0568627074608 -10.019316857188329, -67.05686144146831 -10.019318156569183, -67.05685996155358 -10.019319205845102, -67.05685831642248 -10.019319970483078, -67.05685656021838 -10.019320425317899, -67.05685475074019 -10.01932055538037, -67.05671855499793 -10.019317956839915, -67.06113932160693 -10.026788069872378, -67.06124590037672 -10.02673885372578))
AC-1200013-B99488BD00284A5E81A1B5B2A85B875C;"1200013";AREA_IMOVEL;Area do Imovel;0.2722;PE;IRU;Analisado, aguardando atendimento a notificacao;Acrelandia;AC;"0_AC";"2017-07-13";27.21083773729801;26.307284287864714;POLYGON ((-67.0369954634647 -9.949718439437191, -67.03789202517714 -9.950718986560672, -67.04263778581576 -9.939880663344887, -67.04102537086453 -9.93927463463221, -67.03671435158988 -9.948056966072594, -67.0369954634647 -9.949718439437191))
AC-1200013-E2F5AB6A48AE45E19DE7F122D742E12E;"1200013";AREA_IMOVEL;Area do Imovel;0.8313;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2022-09-03";83.0926213903755;82.60788126373137;POLYGON ((-66.91506033524287 -9.782896488290756, -66.91615419885906 -9.782431486756446, -66.91662618011682 -9.782220069117452, -66.91662714728821 -9.782219694810928, -66.9172062910595 -9.78202945362535, -66.91776398052056 -9.781818076123615, -66.91776600287022 -9.781817543467115, -66.91843256042463 -9.781714907977305, -66.91046503819689 -9.774116409780076, -66.90759482196978 -9.771414496255586, -66.9026366735091 -9.773899719148579, -66.91403598048039 -9.783232974535302, -66.91506033524287 -9.782896488290756))
AC-1200013-F5F4F3882DD3440C8608A899FE5C9528;"1200013";AREA_IMOVEL;Area do Imovel;1.0122;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2020-09-09";101.17772837510212;84.00598796516692;POLYGON ((-66.95956851780976 -9.870768437508946, -66.9579283583597 -9.872783035058326, -66.97575780858016 -9.890157977024085, -66.97580956189155 -9.88396328508232, -66.97550542110515 -9.883716189433969, -66.97541281583374 -9.885341245590206, -66.97541253303022 -9.885343103714082, -66.97541190752901 -9.885344876099591, -66.97541096142656 -9.885346500135407, -66.97540972814492 -9.885347918450805, -66.97540825125104 -9.885349080942344, -66.97540658291766 -9.885349946543823, -66.9754047820804 -9.885350484676987, -66.97540291235565 -9.88535067633173, -66.97540103979337 -9.885350514737654, -66.97539923054372 -9.885350005603232, -66.97539754852029 -9.885349166914162, -66.97539605314229 -9.885348028297987, -66.95970391577372 -9.870878440011692, -66.95956851780976 -9.870768437508946))
AC-1200013-6E938459B0094A1E9ABBA4FD6C9EE91D;"1200013";AREA_IMOVEL;Area do Imovel;0.4962;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2014-08-27";49.60689207302211;25.138613388001914;MULTIPOLYGON (((-67.07583429906212 -10.13887963147542, -67.07543842100213 -10.139027631066465, -67.0710320092977 -10.140886037933564, -67.07280367252932 -10.144574588295717, -67.07581556005623 -10.144706611855373, -67.07583429906212 -10.13887963147542)), ((-67.06335466155545 -10.143545162188088, -67.06327083257946 -10.143576501773225, -67.06327058371028 -10.143617904451714, -67.06335466155545 -10.143545162188088)), ((-67.06327640569945 -10.14415696855745, -67.0662808894489 -10.144288667578738, -67.06511290654343 -10.143382423188378, -67.06327640569945 -10.14415696855745)))
AC-1200013-7532D1859ECF43DBB94314150F2924A7;"1200013";AREA_IMOVEL;Area do Imovel;0.225;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2021-06-09";22.499024785828592;22.213367794112862;POLYGON ((-67.12454178008045 -9.68662296565328, -67.12130738911524 -9.696046455272455, -67.12307964360593 -9.696579116528214, -67.12371545788498 -9.694726678919949, -67.12435729078116 -9.692856676053577, -67.1249962106177 -9.690995130537745, -67.12563512163617 -9.689133580828369, -67.12627088337841 -9.687281177201179, -67.12454178008045 -9.68662296565328))
AC-1200013-C7450295BCC8401D85A2FACC3ED905FA;"1200013";AREA_IMOVEL;Area do Imovel;0.8541;AT;IRU;Analisado, aguardando atendimento a notificacao;Acrelandia;AC;"0_AC";"2014-10-20";85.37565195829669;74.49397600700779;POLYGON ((-67.00292298258552 -10.047004739138197, -67.00290161002566 -10.041974990235705, -66.99403456159767 -10.041961495323461, -66.99430057692936 -10.043194537542629, -66.9943007985701 -10.043196391283077, -66.99430067177646 -10.043198253916064, -66.99430020096781 -10.043200060519917, -66.99429940255409 -10.043201748125854, -66.99429830436384 -10.04320325791274, -66.99429694467423 -10.043204537257276, -66.99429537087697 -10.04320554156819, -66.99429363782639 -10.043206235840438, -66.99209973694111 -10.043855065632982, -66.99209831592425 -10.043855375591452, -66.99076794025287 -10.04404553495425, -66.99076641010261 -10.04404563490627, -66.9907648826603 -10.04404549973886, -66.98943832031748 -10.043824596977522, -66.98943638754794 -10.043824071794871, -66.98943459820164 -10.043823171986716, -66.98943302405668 -10.043821933648092, -66.98943172825855 -10.0438204064539, -66.9894307627871 -10.043818651666237, -66.98943016637135 -10.043816739676915, -66.98942996293606 -10.04381474718376, -66.98942728868404 -10.041954483436228, -66.98903803386962 -10.041953891022688, -66.98882431278805 -10.04694144521525, -67.00292298258552 -10.047004739138197))
AC-1200013-98D94F318719454183A00F63CFCBE1EC;"1200013";AREA_IMOVEL;Area do Imovel;0.8162;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2014-10-20";81.61304276839196;81.09546755887867;POLYGON ((-67.11276944108855 -9.966006044768763, -67.1114833754303 -9.983346660204184, -67.11500394333805 -9.984645548718243, -67.11675853294439 -9.96750077196928, -67.11276944108855 -9.966006044768763))
AC-1200013-21F308EE5B684A5E9F3120758182E6C3;"1200013";AREA_IMOVEL;Area do Imovel;0.5897;AT;IRU;Em analise;Acrelandia;AC;"0_AC";"2015-04-25";58.92994291960225;54.874884193764544;POLYGON ((-66.82809047728063 -9.855816433203456, -66.82781177866465 -9.855647457479023, -66.82781125358477 -9.855647116189576, -66.82744647315874 -9.85539342405675, -66.82744573073951 -9.85539285439724, -66.82714578277748 -9.855139550070152, -66.82682442032984 -9.854928469792636, -66.8268235646899 -9.854927840280837, -66.82644457470813 -9.854616675367138, -66.81324108922952 -9.868744296112311, -66.81443293351369 -9.869541079494484, -66.8148183566778 -9.869798745724244, -66.81484828399722 -9.869755135608377, -66.8148496650247 -9.869753521837481, -66.8148513557306 -9.869752236144313, -66.81485327983886 -9.869751336532834, -66.81485535054344 -9.869750863588958, -66.81485747442466 -9.869750838649512, -66.81597971654293 -9.869857388736374, -66.81653577806985 -9.869098852040766, -66.81633583063417 -9.86907308794141, -66.81633398193601 -9.86907266856502, -66.81633224559688 -9.869071907849666, -66.8163306840132 -9.869070833132124, -66.81632935330141 -9.869069483033028, -66.81632830128147 -9.86906790606902, -66.81632756575837 -9.86906615890927, -66.81632717316359 -9.869064304339034, -66.81632713760523 -9.869062409003435, -66.81632746036114 -9.869060541012523, -66.81632812983287 -9.869058767493696, -66.81632912196255 -9.869057152179446, -66.81892550028897 -9.865611291037819, -66.81892681343447 -9.865609861358568, -66.81892837805988 -9.865608712323674, -66.8189301352049 -9.865607887232608, -66.81893201865441 -9.865607417177557, -66.81893395743379 -9.865607319871762, -66.81893587848332 -9.86560759898203, -66.81951712001134 -9.865750759807524, -66.82024462452871 -9.86495302490427, -66.82240193674254 -9.862355288034147, -66.82240328229724 -9.862353949660344, -66.82240485647469 -9.862352889600286, -66.82240660257672 -9.862352146034814, -66.82240845771291 -9.862351745745384, -66.82241035506567 -9.862351703149468, -66.82241222629688 -9.862352019781271, -66.82241400400923 -9.862352684236468, -66.82242419424914 -9.862357640992213, -66.82563357420413 -9.858788869204865, -66.82563510888826 -9.858787482554508, -66.8256368960145 -9.85878644128872, -66.82563885912859 -9.858785789953421, -66.82564091424744 -9.858785556413089, -66.82564297345196 -9.858785750658708, -66.82564494864825 -9.858786364380343, -66.82564675533632 -9.858787371322652, -66.825767188636 -9.858871915098625, -66.82620068806075 -9.858372307355326, -66.82809492504481 -9.8561892007332, -66.82801174973623 -9.85612973602656, -66.82801029509798 -9.856128467023014, -66.82800911138354 -9.856126942174646, -66.82800824270214 -9.856125218302527, -66.82800772142384 -9.856123359644036, -66.82800756697327 -9.856121435459151, -66.82800778510577 -9.856119517449596, -66.82800836769297 -9.856117677086969, -66.82800929302569 -9.856115982949488, -66.82801052662285 -9.85611449816651, -66.82822068560444 -9.855906233847161, -66.82809047728063 -9.855816433203456))
AC-1200013-A2468963F1854C508667594E850EC459;"1200013";AREA_IMOVEL;Area do Imovel;0.3328;AT;IRU;Em analise;Acrelandia;AC;"0_AC";"2014-08-22";33.27152208867669;5.281208167178523;MULTIPOLYGON (((-67.1251641838033 -9.771301931365562, -67.12504466869534 -9.771250910434157, -67.12455339627013 -9.772273755047152, -67.12455245034643 -9.772275333441168, -67.12455123122372 -9.772276711787704, -67.12454978018273 -9.772277843414573, -67.12454814635713 -9.772278690003766, -67.12454638506989 -9.772279222888933, -67.12454455595996 -9.772279424026053, -67.12454272096278 -9.772279286604421, -67.1245409422132 -9.772278815277273, -67.11303021691941 -9.768061921123119, -67.12444263350811 -9.772954149010193, -67.1251641838033 -9.771301931365562)), ((-67.1112286250771 -9.765352849296125, -67.11121419119044 -9.765346687478145, -67.11059882710822 -9.767019642921461, -67.1106035635932 -9.7670216733384, -67.11061158847333 -9.76702511341106, -67.1112286250771 -9.765352849296125)))
AC-1200013-8DA896EEC2E8440BB197FB6E06026493;"1200013";AREA_IMOVEL;Area do Imovel;0.7501;PE;IRU;Analisado, aguardando atendimento a notificacao;Acrelandia;AC;"0_AC";"2015-01-13";74.97714444554514;27.299326348798377;MULTIPOLYGON (((-66.94249263166775 -9.784859507104251, -66.94247701902157 -9.7848748926307, -66.94251083854488 -9.784961373584256, -66.94373307913614 -9.784177170003078, -66.94283505033366 -9.784690767119358, -66.94283450561872 -9.78469105672885, -66.94249263166775 -9.784859507104251)), ((-66.94786010283077 -9.798845933072984, -66.95141179330953 -9.7973433894881, -66.95128660211121 -9.797012689007062, -66.95128609869687 -9.797010841235295, -66.95128595675881 -9.797008931381875, -66.95128618150288 -9.797007029494234, -66.95128676468619 -9.797005205327649, -66.9512876849194 -9.797003525786831, -66.95128890845122 -9.797002052472072, -66.95129039040636 -9.79700083941994, -66.95129207643133 -9.79699993112138, -66.95152204074385 -9.796903180443968, -66.94917978110003 -9.7913926537192, -66.94917964811891 -9.791392324769346, -66.94754213659238 -9.787125343040932, -66.94754206115698 -9.787125139921786, -66.94597947412792 -9.78277380971857, -66.94523925195718 -9.78331569284332, -66.945238309611 -9.783316304483964, -66.94452156100017 -9.783726224542878, -66.95029644117591 -9.797153919411913, -66.95029702826007 -9.797155754117764, -66.95029725266657 -9.797157667349344, -66.95029710606815 -9.7971595881102, -66.95029659390477 -9.797161445124479, -66.95029573518185 -9.797163169481848, -66.95029456176503 -9.797164697194624, -66.9502931171976 -9.797165971572237, -66.95029145508477 -9.797166945324914, -66.94767978312369 -9.798375746537126, -66.94786010283077 -9.798845933072984)))
AC-1200013-42F36A891E1B4B14A21B14CB5FEFA667;"1200013";AREA_IMOVEL;Area do Imovel;0.1437;PE;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2022-06-03";14.3616547429353;14.186562998260557;POLYGON ((-66.80017079168572 -9.903907233837447, -66.79532144829467 -9.902859961025442, -66.79654767331992 -9.906141174336748, -66.79930273811304 -9.90686097429186, -66.80017079168572 -9.903907233837447))
AC-1200013-D0F9E8B99B0C4085BBB9D5ECDE5446FC;"1200013";AREA_IMOVEL;Area do Imovel;0.7236;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2014-06-03";72.34127687675952;22.521115936342152;POLYGON ((-67.05104702533704 -9.881128995651386, -67.04978818968186 -9.884341203314126, -67.06519718977022 -9.889872772153556, -67.06554736005639 -9.888908029828867, -67.05041537841618 -9.883299554609195, -67.05041361093365 -9.883298693379992, -67.0504120461236 -9.883297502968428, -67.05041074447702 -9.883296029392366, -67.05040975631182 -9.883294329615984, -67.05040911982759 -9.883292469347714, -67.05040885962897 -9.883290520500132, -67.0504089857745 -9.883288558410042, -67.05040949338772 -9.883286658926158, -67.0511990222251 -9.881186556196988, -67.05104702533704 -9.881128995651386))
AC-1200013-243973A2A2FF4DB999CF4A682E464BF5;"1200013";AREA_IMOVEL;Area do Imovel;0.3736;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2015-05-01";37.349773183547605;37.00874268065668;POLYGON ((-67.02631990107392 -10.18913373853041, -67.03708316013284 -10.189503103489336, -67.03708719034333 -10.188780907801847, -67.0263811203886 -10.184181955834871, -67.02631990107392 -10.18913373853041))
AC-1200013-3E145F48A41541B5A1A2E9E4AB5E0957;"1200013";AREA_IMOVEL;Area do Imovel;0.1729;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2016-05-04";17.27996869772803;15.29316259811724;POLYGON ((-67.0287277951918 -10.09567439461192, -67.0281219754 -10.098686518578855, -67.02790248217293 -10.099823238620012, -67.02856050335699 -10.099804794979947, -67.02856243434721 -10.09980492825416, -67.02856430349004 -10.09980543103672, -67.02856604075835 -10.09980628449095, -67.0285675810656 -10.09980745664232, -67.02856886670442 -10.099808903576347, -67.02856984950854 -10.09981057108386, -67.02857049265735 -10.099812396691942, -67.02857077205539 -10.099814312004447, -67.02857067723502 -10.099816245264481, -67.0285702117487 -10.09981812404274, -67.02853007953688 -10.09993164828771, -67.02852913665018 -10.099933606730836, -67.02852779287132 -10.099935315178433, -67.02780042302622 -10.100677405935265, -67.02780075002732 -10.100677387953041, -67.02805302846197 -10.100481621743093, -67.02812397422655 -10.100411283968775, -67.02812536163681 -10.100410136657914, -67.02812693227906 -10.100409256707712, -67.0281286352452 -10.100408672639375, -67.02813041533815 -10.100408403383895, -67.02814880618197 -10.100407298936766, -67.02862284956804 -10.100039444755454, -67.02862437642943 -10.100038467863797, -67.02862605455282 -10.100037782644902, -67.02862782880139 -10.100037411612478, -67.02949761079519 -10.099936596038283, -67.0311951044927 -10.099703303982864, -67.0311951044927 -10.099703303982862, -67.0311951044927 -10.09970330398286, -67.03126904849253 -10.095442640965242, -67.0287277951918 -10.09567439461192))
AC-1200013-66976139D2154BCCA97E7FEB6BE4E854;"1200013";AREA_IMOVEL;Area do Imovel;0.0979;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2022-07-27";9.783120369400578;9.633006312243156;POLYGON ((-66.9402881361402 -10.021187636259551, -66.94054672137183 -10.021628055107804, -66.94054754940552 -10.021629851949521, -66.94054800748026 -10.021631776643652, -66.94076446583469 -10.023230608999862, -66.9407645559419 -10.023231873445622, -66.94076685637349 -10.02352997356442, -66.94393498098499 -10.0205399820284, -66.94340420855636 -10.019792532037822, -66.94250078904884 -10.018777395202214, -66.9402881361402 -10.021187636259551))
AC-1200013-E44B421B2E0F405094760BCE8B948376;"1200013";AREA_IMOVEL;Area do Imovel;0.2946;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2021-12-09";29.4450280739516;28.446429173892266;POLYGON ((-66.99006929508194 -9.975235757713913, -66.98950061717623 -9.975508909835318, -66.98888970159483 -9.98007376495766, -66.98888924879368 -9.980075683555892, -66.98888842841781 -9.98007747604898, -66.9888872723474 -9.98007907277978, -66.98888582550791 -9.980080411698568, -66.9888841441242 -9.980081440774315, -66.98888229353568 -9.980082120016645, -66.98888034565708 -9.980082423029874, -66.9888783761839 -9.980082338038759, -66.98887646165085 -9.980081868346103, -66.98831330354334 -9.979883099262041, -66.98700542262183 -9.984542963543442, -66.99008179587878 -9.984403839880953, -66.99194484994494 -9.97545670246764, -66.99006929508194 -9.975235757713913))
AC-1200013-EC83DC6F5267402E9331358D5D5AED4B;"1200013";AREA_IMOVEL;Area do Imovel;0.127;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2016-05-04";12.698739269956201;12.023337733143666;POLYGON ((-67.0045126913634 -10.100234769941439, -67.00588544836414 -10.105478884699291, -67.00749435544614 -10.104509603587449, -67.00679182290229 -10.103010032300409, -67.00679118567115 -10.10300824977952, -67.00679089577352 -10.103006379110221, -67.00679096359777 -10.103004487326903, -67.00679138671342 -10.103002642220567, -67.00679214995837 -10.103000909909566, -67.00679322598215 -10.102999352470302, -67.00679457622607 -10.102998025712743, -67.00679615230487 -10.102996977180505, -67.00710886799337 -10.102829273659331, -67.00638227424729 -10.099287144211583, -67.0045126913634 -10.100234769941439))
AC-1200013-2BC674EF71994917A5E2FAA8C63FE6F4;"1200013";AREA_IMOVEL;Area do Imovel;0.6563;AT;IRU;Em analise;Acrelandia;AC;"0_AC";"2014-06-03";65.62567981216013;63.91006137665683;POLYGON ((-67.1126159581584 -9.794872115072167, -67.11568760067726 -9.79596105371211, -67.11596706089718 -9.795310138940932, -67.11697120653494 -9.792671446027978, -67.11697206038306 -9.792669722422492, -67.11697322843509 -9.7926681941794, -67.11697466747458 -9.792666917841752, -67.11697632425893 -9.79266594063241, -67.11697813748921 -9.792665298706874, -67.11698004007823 -9.79266501581557, -67.11698196163262 -9.792665102425117, -67.11698383105731 -9.792665555331071, -67.11708708819555 -9.792701387280907, -67.1170959144852 -9.792680829212541, -67.10295299214538 -9.787612843199554, -67.10162995172232 -9.790977427837753, -67.10172884439136 -9.791012486620755, -67.1017788816211 -9.790880319598475, -67.1017797466894 -9.79087857173091, -67.10178093455612 -9.790877025006345, -67.1017824000421 -9.790875738252659, -67.10178408740927 -9.790874760410034, -67.1017859324806 -9.790874128669586, -67.10178786508092 -9.790873867058828, -67.10178981170603 -9.790873985527824, -67.10179169831828 -9.790874479570745, -67.1126159581584 -9.794872115072167))
